,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Win Percentage
Total # of Bowl Games,28,28,28,28,32,32,34,34,35,35,35,35,39,41,41,
4DT,,,,,,,,,,,,14,,,,0.4
AB3,,,,13,21,,,,,,,,,,,0.566666667
ABC,,,,14,21,19,14,15,21,21,16,20,22,24,20,0.539192399
ACR,,,,,,,21,19,23,20,24,20,23,,,0.607287449
ACU,,,20,17,19,19,18,18,20,22,17,21,21,29,24,0.590200445
ALB,,,,,,,,17,20,25,22,,,,,0.604316547
ALD,,,,,,,,18,,,,,,,,0.529411765
AND,15,14,16,14,21,21,16,18,20,22,16,20,21,24,19,0.548514851
ARG,15,19,16,16,24,,15,21,23,22,23,19,21,32,22,0.608879493
ARM,14,18,17,16,21,,,,,,,,,,,0.597222222
ASH,14,17,15,14,22,19,20,16,20,22,19,21,24,28,,0.584051724
Ash,,,,,,,,,,,,,,,20,0.487804878
ATC,,,,,,,,,,,,,,19,21,0.487804878
AUS,,,,,,,,,23,,,,,,,0.657142857
AVG,14,18,14,15,23,20,16,16,21,21,21,21,21,28,22,0.576237624
BAS,11,18,20,18,18,19,24,14,22,21,22,22,22,32,24,0.607920792
BBT,,,,,,,,,,,24,,19,29,22,0.602564103
BCD,,17,17,,19,18,14,,22,,18,,,,,0.558035714
BCM,,,15,15,,,,,,,,19,20,29,20,0.556603774
BCS,,17,14,15,21,18,15,,,,,,,,,0.549450549
BD,,16,13,,,,,,,,,,,,,0.517857143
BDF,,,,18,19,15,19,18,27,21,24,20,22,25,30,0.612826603
BEM,,,,,,22,,,,,,,,,,0.6875
BFS,,,,,,,,,,,25,,,,,0.714285714
BIH,15,19,15,14,20,18,18,16,20,23,18,23,22,24,19,0.562376238
BIL,14,20,17,17,20,16,15,19,22,18,17,20,20,27,23,0.564356436
BMC,16,19,,,19,15,,,20,22,22,16,21,,22,0.564705882
BNM,,,,,,,,,,20,,,21,,,0.554054054
BOB,,18,13,17,20,22,19,17,22,20,22,20,21,29,,0.596330275
BOW,,,,,,,,,,,,,,26,24,0.609756098
BPI,,,,,22,20,19,18,23,21,18,,,,,0.594936709
BRN,14,20,14,17,21,20,22,18,22,19,25,19,19,29,23,0.598019802
BSR,,,,,,18,,,,,,,,,,0.5625
BSS,,,,,,,16,16,19,21,16,16,17,26,21,0.510638298
BT,,,,,,,,,,,,18,,,,0.514285714
BTS,,,,,,,,,,22,19,17,,,,0.552380952
BUR,,,,,,,,,,,,22,,,,0.628571429
BWE,,,,,,,,,,,,,21,28,21,0.578512397
CA,,,,,,17,16,14,,,,,,,,0.47
CCI,,,,,,,,,,,,19,,,,0.542857143
CFN,,,,,23,,,18,21,,,,,,,0.613861386
CGV,,19,18,16,19,17,15,18,22,25,20,16,25,29,22,0.589098532
CI,,,,,,,,,,,,,,27,20,0.573170732
CJB,,,,,,,,,,23,18,21,,,,0.59047619
CK,,,,,,,,,,,,,25,,,0.641025641
CLA,16,18,16,17,22,20,19,18,23,22,20,,,,,0.604584527
CMV,,,19,17,19,19,18,14,17,25,21,21,18,23,21,0.561247216
COF,14,20,18,18,22,21,18,18,22,22,20,19,20,30,19,0.596039604
COL,16,14,18,16,21,21,16,13,20,22,16,16,24,31,18,0.558415842
COV,,,,,,,,18,,,,,,,,0.529411765
CPA,15,18,15,20,,23,24,20,22,24,23,20,20,30,,0.634259259
CPR,14,18,17,18,,18,16,19,20,20,19,24,19,27,,0.576388889
CRD,17,16,14,,,,,,,,,,,,,0.55952381
CSL,16,17,15,16,21,17,15,16,22,20,16,14,24,,19,0.534482759
CSl,,,,,,,,,,,,,,24,,0.585365854
CTN,,16,13,,,,,,,,,,,,,0.517857143
CTW,,,,,,,,20,22,22,23,23,20,29,27,0.630508475
CUR,,,15,15,,,,,,,,,,,,0.535714286
D1A,,,16,14,22,20,14,17,21,24,16,16,22,24,21,0.550111359
DAN,16,18,18,16,,,,,,,,,,,,0.607142857
DC2,,,,,,,,17,23,,,,,,,0.579710145
DCF,,,14,,,,,,,,,,,,,0.5
DCI,,,,,,,,16,21,21,25,20,23,24,26,0.596610169
DEF,,,,,,,,15,,,,,,,,0.441176471
DES,15,17,17,17,18,17,12,20,21,24,19,17,17,25,22,0.55049505
DEV,,,,,,19,,,,,,,,,,0.59375
DEZ,,,,,,,22,18,22,21,22,,,23,23,0.592156863
DII,,,,,,,,,,,18,23,23,28,23,0.602094241
DKC,,17,,16,,12,14,19,19,,,,,,,0.507853403
DOI,,,,,,,,,,,,,16,30,24,0.578512397
DOK,,19,16,14,20,19,15,17,23,23,23,19,21,31,24,0.595387841
DOL,15,21,17,17,22,21,17,17,18,23,17,19,22,25,20,0.576237624
DP,,19,15,14,21,22,19,21,23,22,24,19,20,26,25,0.607966457
DUN,14,17,,17,,18,24,16,24,24,20,17,21,29,23,0.593258427
DWI,15,18,19,21,21,18,17,,23,21,21,19,17,,23,0.588372093
ECD,,,,,,,,,,,,21,,,,0.6
ECK,14,14,16,16,,21,,,,,,,,,,0.5625
EFI,,,,,,,,,,,,,,,24,0.585365854
EL,,,,,,19,14,,,,,,,,,0.5
ENG,,,,,,,,,,,,21,20,24,20,0.544871795
ER,12,15,14,17,21,20,16,,20,,,,,,,0.551020408
ERD,15,18,14,17,19,20,22,,,,,,,,,0.595238095
EZ,,,,,,,,,,,,,,24,17,0.5
FAS,,,,,,,,,,,,,,,18,0.43902439
FEI,,,,,23,23,16,17,22,23,21,20,20,31,21,0.603053435
FIT,,,,,20,17,17,,,,,,,,,0.551020408
FLM,15,20,18,13,22,23,21,18,25,23,22,22,19,27,19,0.607920792
FLY,15,17,,,,,,,,,,,,,,0.571428571
FMG,14,18,17,14,,,,16,19,20,19,21,24,24,21,0.557739558
FPI,,,,,,,,,,,,18,20,31,24,0.596153846
GBE,,,16,15,23,19,13,16,20,23,19,15,26,28,19,0.561247216
GFM,,,,,,,14,,,,,,,,,0.411764706
GLD,,,,,,,,,,,17,,24,26,21,0.564102564
GM,,,16,14,20,20,16,20,,,,,,,,0.563829787
GMP,,,,,18,15,13,13,19,,15,,,,,0.46039604
GRL,,,,,,,,21,18,19,19,,21,,,0.550561798
GRM,,,16,,,,,,,,,,,,,0.571428571
GRN,13,20,14,14,20,19,17,14,,,,,,,,0.536885246
GRR,,,,,,,,,,25,21,,,,23,0.621621622
GRS,13,16,17,18,19,,16,,19,22,,21,25,28,19,0.576732673
GTF,,,,,,,14,,,,,,,,,0.411764706
GUN,,,,,,21,15,20,21,,,,,,,0.57037037
GUP,,18,14,16,,21,,,,,,,,,,0.594827586
HAN,,,,,,20,,,,,,,,,,0.625
HAT,,16,,,,,,14,22,21,15,20,25,26,20,0.554179567
HAW,,,,14,19,20,14,,,,,,,,,0.531746032
HEN,,,,,,18,,,,23,20,17,23,30,20,0.585271318
HER,15,20,14,14,,,,,,,,,,,,0.5625
HKB,,,,,,,17,17,,24,20,22,19,28,21,0.571428571
HLG,,,,,,,,,21,24,,,,,,0.642857143
HNL,,,,,,,,,21,23,23,20,22,28,21,0.605363985
HNM,14,,,,,,,,,,,,,,,0.5
HOL,15,18,,,,,,,,,,,,,,0.589285714
