Model Name,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Total,Correct %
No. of Games,28,28,28,28,32,32,34,34,35,35,35,35,39,41,41,505,
KAM,13,21,16,15,19,28,23,22,23,23,22,21,21,28,24,319,63.17
PFZ,15,18,15,19,20,23,21,22,21,23,25,17,21,32,24,316,62.57
FLM,15,20,18,13,22,23,21,18,25,23,22,22,19,27,19,307,60.79
BSS,11,18,20,18,18,19,24,14,22,21,22,22,22,32,24,307,60.79
MOR,15,17,15,15,22,17,24,18,24,21,25,20,22,26,23,304,60.2
BORN,14,20,14,17,21,20,22,18,22,19,25,19,19,29,23,302,59.8
COF,14,20,18,18,22,21,18,18,22,22,20,19,20,30,19,301,59.6
WLK,14,18,16,14,23,21,15,20,21,23,22,21,21,28,24,301,59.6
PIG,13,19,16,17,17,17,22,18,22,23,24,19,25,24,24,300,59.41
SAG1,14,19,15,15,20,21,17,15,21,24,22,20,22,30,24,299,59.21
HOW,16,18,15,16,23,20,16,19,23,23,20,16,22,28,22,297,58.81
MAR,14,21,16,17,19,20,15,20,22,24,23,15,19,27,23,295,58.42
MAS2,14,19,15,15,22,18,16,18,18,22,22,21,24,28,20,292,57.82
DOL,15,21,17,17,22,21,17,17,18,23,17,19,22,25,20,291,57.62
ASH,14,17,15,14,22,19,20,16,20,22,19,21,24,28,20,291,57.62
SOL,15,17,16,15,19,22,15,15,21,23,23,20,23,26,21,291,57.62
Avg.,14,18,14,15,23,20,16,16,21,21,21,21,21,28,22,291,57.62
MRK,15,18,16,16,20,17,15,19,20,21,20,18,24,25,23,287,56.83
BIH,15,19,15,14,20,18,18,16,22,23,18,23,22,24,19,286,56.63
RTH,14,18,15,15,19,22,18,15,20,23,20,19,23,25,20,286,56.63
SEL,14,20,16,14,18,21,18,16,19,22,20,20,24,24,20,286,56.63
BIL2,14,20,17,17,20,16,15,19,22,18,17,20,20,27,23,285,56.44
COL2,16,14,18,16,21,21,16,13,20,22,16,16,24,31,18,282,55.84
WEL,15,15,16,16,22,22,15,15,19,22,16,16,25,28,19,281,55.64
WIL,15,18,16,15,20,21,15,17,21,22,17,18,22,24,18,279,55.25
MJS,15,15,16,17,21,19,15,14,22,21,17,16,25,27,19,279,55.25
DES,15,17,17,17,18,17,12,20,21,24,19,17,17,25,22,278,55.05
AND1,15,14,16,14,21,21,16,18,20,22,16,20,21,24,19,277,54.85
WOL2,15,17,12,16,21,18,14,16,19,21,18,23,23,24,19,276,54.65
WOB,16,18,14,15,21,18,16,15,20,22,15,20,22,24,19,275,54.46
CSL,16,17,15,16,21,17,15,16,22,20,16,14,24,24,19,272,53.86
,,,,,,,,,,,,,,,,,
