"Team","Wins","Losses","Distribution"
"Alabama","12","2","0.0159859989771906"
"Oregon","13","2","0.0154012263036233"
"Texas Christian","12","1","0.0152620279315859"
"Baylor","11","2","0.0140858192697369"
"Ohio State","14","1","0.0135646971778777"
"Georgia","10","3","0.0128584276391159"
"Auburn","8","5","0.0126450253515555"
"Mississippi","9","4","0.0125866431341175"
"Mississippi State","10","3","0.0124890740622726"
"Kansas State","9","4","0.0120655223321735"
"Oklahoma","8","5","0.0119473841524744"
"Georgia Tech","11","3","0.0118607248243986"
"Arkansas","7","6","0.0117184045277245"
"Michigan State","11","2","0.0116061743204354"
"Florida State","13","1","0.0111673646011783"
"Arizona","10","4","0.010629343983027"
"Marshall","13","1","0.0106075531937765"
"Louisiana State","8","5","0.010538599629391"
"Southern California","9","4","0.0105142722297693"
"Wisconsin","11","3","0.0104617981703833"
"West Virginia","7","6","0.0104218680613871"
"Missouri","11","3","0.0104002249435905"
"UCLA","10","3","0.0102908152178451"
"Stanford","8","5","0.00998194988327809"
"Louisiana Tech","9","5","0.00981804484856939"
"Arizona State","10","3","0.00980814979245959"
"Nebraska","9","4","0.00973049841934883"
"Washington","8","6","0.00959629553582853"
"Boise State","12","2","0.00945110701568439"
"Louisville","9","4","0.00941522399231599"
"Tennessee","7","6","0.009313012351988"
"Clemson","10","3","0.00922373319997296"
"Texas A&M","8","5","0.00920624715787214"
"Miami (FL)","6","7","0.00891973663855921"
"Florida","7","5","0.00888060553636956"
"Utah","9","4","0.00882341776775759"
"Minnesota","8","5","0.00872028705397127"
"Texas","6","7","0.00857274752554726"
"Duke","9","4","0.00853278782686664"
"South Carolina","7","6","0.0085088281555517"
"Memphis","10","3","0.00848421120547091"
"Virginia Tech","7","6","0.00837553986972207"
"Notre Dame","8","5","0.00817495491343017"
"Boston College","7","6","0.0081074522116694"
"Colorado State","10","3","0.00797614476545495"
"Virginia","5","7","0.00796512610339105"
"Oklahoma State","7","6","0.00785458574545348"
"Brigham Young","8","5","0.0077977103722078"
"Utah State","10","4","0.00772796298358695"
"Pittsburgh","6","7","0.00761472094597211"
"Iowa","7","6","0.00756995255362838"
"California","5","7","0.00751024095972875"
"East Carolina","8","5","0.00739861597382835"
"Cincinnati","9","4","0.00736124040434278"
"Kentucky","5","7","0.00735035928866752"
"Central Florida","9","4","0.00722587341413207"
"Georgia Southern","9","3","0.007120520164951"
"North Carolina","6","7","0.00709905872043008"
"Texas Tech","4","8","0.00705669271634075"
"Penn State","7","6","0.0070060961311462"
"Maryland","7","6","0.00700409474871553"
"Alabama-Birmingham","6","6","0.00699066006416161"
"Michigan","5","7","0.00695384383562908"
"North Carolina State","8","5","0.00694941504218894"
"Nevada","7","6","0.00693051075871405"
"Washington State","3","9","0.00688324970175252"
"Northern Illinois","11","3","0.00687466942319642"
"Western Kentucky","8","5","0.00684709200444532"
"Northwestern","5","7","0.00675560634464605"
"Navy","8","5","0.00673466688397224"
"Oregon State","5","7","0.0066136314809331"
"Houston","8","5","0.00658507607717503"
"Western Michigan","8","5","0.00652466032336589"
"Air Force","10","3","0.00651450047021985"
"Arkansas State","7","6","0.00641036628333251"
"San Diego State","7","6","0.00637583361306887"
"Colorado","2","10","0.00635023395238254"
"Iowa State","2","10","0.00630551670392882"
"Fresno State","6","8","0.00629988832855459"
"Temple","6","6","0.00626335769546825"
"Rutgers","8","5","0.00623439711190366"
"Illinois","6","7","0.00621414459125556"
"Kansas","3","9","0.00618851358406845"
"Syracuse","3","9","0.00612594522264986"
"Indiana","4","8","0.00595218789947599"
"Middle Tennessee State","6","6","0.00594094945750566"
"Rice","8","5","0.00587616793711649"
"Purdue","3","9","0.00585685364767901"
"Toledo","9","4","0.00584939042182815"
"Texas-El Paso","7","6","0.005818645520168"
"Hawaii","4","9","0.005786373204346"
"Louisiana","9","4","0.00567161386907869"
"Central Michigan","7","6","0.00551165239001705"
"Appalachian State","7","5","0.00547922694936797"
"Vanderbilt","3","9","0.00538054553616594"
"Wake Forest","3","9","0.00537846499672126"
